fips,PST045213,PST040210,PST120213,POP010210,AGE135213,AGE295213,AGE775213,SEX255213,RHI125213,RHI225213,RHI325213,RHI425213,RHI525213,RHI625213,RHI725213,RHI825213,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010213,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010212,BZA110212,BZA115212,NES010212,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030212,LND110210,POP060210
01043,80811,80408,0.5,80406,5.9,22.5,17.2,50.4,96.2,1.4,0.6,0.5,0.0,1.2,4.4,92.2,87.0,3.0,4.6,79.8,14.8,6167,26.4,36877,75.0,8.2,106100,31342,2.53,20760,38847,18.8,1716,21412,1.0,5476,7873,1.1,0.0,1.1,0.0,0.0,23.9,1393437,0,867058,10757,102291,48,734.84,109.4
01045,49884,50251,-0.7,50251,6.5,23.7,14.9,50.5,75.3,19.6,0.8,1.3,0.1,2.8,5.7,70.8,78.4,3.7,6.3,84.1,17.0,6730,20.9,22716,61.1,13.6,99400,19345,2.52,22685,44889,17.4,797,12113,-11.1,2323,2951,0.0,0.0,0.0,0.0,0.0,0.0,114991,69341,332503,6889,37229,71,561.15,89.6
01047,41996,43820,-4.2,43820,6.8,25.6,15.3,53.5,29.0,69.6,0.2,0.5,0.0,0.7,0.9,28.5,86.7,0.8,1.3,77.5,14.2,2897,22.0,20112,60.9,19.3,75700,16173,2.63,17245,26519,35.5,764,10525,-2.4,2240,3148,49.1,0.0,4.4,0.0,0.0,28.8,1174763,0,437359,10223,33708,11,978.70,44.8
01049,71013,71115,-0.1,71109,6.3,24.8,15.2,50.7,92.4,2.0,2.1,0.4,0.8,2.2,14.2,80.7,90.9,7.5,11.2,70.6,10.7,4371,23.3,30861,76.3,6.7,93400,24923,2.82,18149,37851,19.9,1079,16216,-2.0,4752,5908,0.0,0.8,0.6,0.0,0.0,25.8,1831626,0,635185,9303,67915,23,777.09,91.5
01051,80902,79296,2.0,79303,6.0,23.2,13.4,51.4,76.2,21.1,0.4,0.7,0.1,1.5,2.8,73.9,85.4,2.1,3.6,86.6,21.0,8364,28.2,32936,75.5,8.1,144600,28324,2.62,23856,54766,13.4,1122,14382,2.0,4927,6513,9.1,0.0,0.0,0.0,0.0,28.3,766344,104885,618313,7982,47884,216,618.49,128.2
01053,37983,38319,-0.9,38319,6.3,22.1,16.2,48.5,62.4,32.2,3.5,0.3,0.1,1.6,2.1,60.7,93.4,0.6,1.4,76.2,11.7,2995,23.5,16320,72.5,9.0,84100,13681,2.59,16540,30687,25.4,746,9879,4.5,2102,2765,9.0,3.2,0.0,0.0,0.0,21.3,665336,93125,379587,10089,31909,4,945.08,40.5
01055,103931,104427,-0.5,104430,5.8,22.3,16.8,51.5,81.3,15.5,0.6,0.8,0.3,1.5,3.6,78.5,85.0,2.2,3.1,81.8,14.8,8638,23.9,47306,72.4,12.1,100000,40217,2.55,20204,38013,19.0,1992,29933,5.1,7012,9147,6.1,0.0,0.0,0.0,0.6,25.7,1252962,518424,1114841,10801,137966,90,534.99,195.2
01057,16909,17241,-1.9,17241,5.5,21.7,19.0,50.4,86.4,11.8,0.4,0.3,0.0,1.1,1.5,85.1,87.8,0.6,0.8,74.9,13.2,1221,27.5,8364,74.9,8.7,71400,6956,2.41,18494,33838,19.9,311,3456,-5.5,1068,1378,5.1,0.0,0.0,0.0,0.0,24.3,186247,22463,130362,7433,10869,0,627.66,27.5
01059,31532,31709,-0.6,31704,6.7,24.4,15.9,50.1,92.3,4.3,1.5,0.3,0.1,1.5,15.4,78.7,86.4,8.4,13.2,72.5,11.0,1860,26.2,13956,69.5,12.0,82300,12437,2.52,18888,36415,21.9,529,10188,4.3,1888,2357,0.0,0.0,0.0,0.0,0.0,23.2,671954,67398,269096,8786,25389,8,633.82,50.0
01061,26727,26790,-0.2,26790,5.7,22.2,18.6,51.0,87.2,9.8,0.9,0.4,0.1,1.7,3.4,84.3,82.7,1.8,3.0,77.2,10.4,2336,25.6,12572,72.1,5.6,78100,10945,2.43,20199,35625,21.2,392,3688,-5.0,1600,1736,0.0,0.0,0.0,0.0,0.0,0.0,153342,231687,170044,6612,10402,7,574.41,46.6
01063,8744,9045,-3.3,9045,6.0,23.2,17.2,52.3,18.7,80.2,0.2,0.3,0.0,0.6,1.0,18.2,92.4,0.2,1.4,76.2,12.8,502,28.0,4955,73.2,8.9,72700,3264,2.72,14930,24226,32.9,100,1186,7.6,594,657,60.3,0.0,0.0,0.0,0.0,36.1,0,0,33639,3697,1226,4,647.11,14.0
01065,15406,15760,-2.2,15760,6.2,23.3,16.9,52.5,41.0,57.9,0.2,0.3,0.0,0.6,1.1,40.2,90.6,1.2,2.7,77.4,12.8,995,27.1,7587,78.0,6.1,79900,5969,2.56,18812,30051,26.6,190,1962,-8.8,841,882,0.0,0.0,0.0,0.0,0.0,0.0,0,0,86735,4794,3136,14,643.94,24.5
01067,17296,17302,0.0,17302,5.4,21.4,20.1,51.8,70.1,27.5,0.4,0.8,0.0,1.1,2.5,68.2,91.9,2.9,5.0,80.1,16.6,1497,26.0,8902,77.7,4.6,97000,7001,2.44,21924,41650,14.4,297,2821,3.0,1035,1091,0.0,0.0,0.0,0.0,0.0,18.2,425821,0,92574,5559,7415,22,561.75,30.8
01069,103668,101547,2.1,101547,6.4,24.0,15.6,52.0,70.4,26.4,0.5,0.9,0.1,1.8,3.3,67.7,86.3,2.4,4.4,83.9,19.7,9254,20.8,45958,64.6,14.6,122300,39250,2.58,23316,40948,18.0,2733,42935,-1.2,6914,10151,12.1,0.0,1.4,0.0,1.3,25.5,1310677,0,1909615,19608,177224,525,579.82,175.1
01071,52951,53226,-0.5,53227,5.4,22.0,18.1,50.7,91.8,3.4,1.6,0.5,0.1,2.6,2.8,89.8,91.2,2.2,3.4,74.6,13.0,4000,26.4,24599,75.2,6.9,93400,20765,2.53,20486,37634,16.0,868,11944,2.2,3133,4337,0.0,4.3,0.0,0.0,0.0,26.8,1525396,0,410988,7784,39315,17,1077.87,49.4
01073,659479,658474,0.2,658466,6.6,23.2,13.9,52.7,54.2,42.8,0.3,1.5,0.1,1.1,3.8,51.0,83.8,4.1,5.9,87.4,30.0,46613,23.4,303177,64.7,24.2,140800,259634,2.48,26906,45429,18.0,16271,312977,-0.2,45994,55470,23.4,0.4,2.4,0.0,1.3,29.8,10260950,13756797,11066328,16730,1268154,2330,1111.28,592.5
01075,14236,14564,-2.3,14564,5.2,22.1,19.9,51.2,87.0,11.4,0.2,0.1,0.0,1.4,1.4,85.7,87.8,0.6,1.0,76.1,9.5,1127,25.7,7287,71.5,9.0,66800,6084,2.32,19026,36028,22.3,246,2813,2.0,968,1340,0.0,0.0,0.0,0.0,0.0,25.8,234908,0,70780,4887,6008,0,604.85,24.1
01077,92797,92709,0.1,92709,5.3,20.6,17.9,52.1,87.0,10.2,0.5,0.8,0.1,1.4,2.4,85.0,86.1,2.1,3.0,83.8,21.1,7000,24.5,44075,69.9,15.4,114300,38458,2.36,23510,42844,17.2,1984,24995,2.1,6694,8317,5.5,0.0,0.8,0.0,0.0,27.6,1083658,514555,1131585,12783,136587,290,667.70,138.8
01079,33587,34339,-2.2,34339,5.5,21.9,16.3,51.4,78.1,11.4,5.8,0.2,0.0,4.4,2.1,76.5,90.5,1.0,1.9,77.1,11.9,1891,27.8,15083,80.1,5.9,94200,13382,2.52,20181,38551,17.5,411,4515,-4.6,1989,2289,0.0,0.0,0.0,0.0,1.1,0.0,0,23787,166958,4889,22719,0,690.68,49.7
01081,150933,140296,7.6,140247,5.7,21.9,9.9,50.5,71.4,23.5,0.4,3.1,0.1,1.5,3.9,68.3,76.4,5.1,6.9,86.7,32.5,10045,21.4,64612,61.7,23.8,146900,55864,2.49,23506,43542,22.0,2457,37520,5.5,9233,10319,16.2,0.0,2.0,0.4,0.0,28.2,0,0,1451634,11099,201205,706,607.54,230.8
01083,88845,82782,7.3,82782,6.1,23.5,13.5,49.6,82.4,13.2,0.8,1.4,0.2,2.0,5.8,77.7,88.1,4.3,6.4,81.5,22.7,6964,26.3,35196,76.6,8.9,134500,31794,2.56,25020,48619,14.7,1299,15102,11.1,5373,5914,4.8,1.1,0.8,0.0,1.3,25.8,947299,248292,723200,9785,68140,88,559.94,147.8
01085,10703,11299,-5.3,11299,6.7,23.4,16.6,52.4,25.6,73.1,0.2,0.3,0.0,0.8,1.1,25.2,90.4,0.2,0.7,73.9,14.4,626,30.4,5053,74.9,9.5,71400,4212,2.61,18368,26230,26.7,106,1859,-13.3,764,682,57.3,0.0,0.0,0.0,0.0,35.2,1156888,0,103636,8184,595,4,715.91,15.8
01087,19688,21450,-8.2,21452,5.0,19.0,16.5,53.9,16.7,81.5,0.2,0.3,0.0,1.3,1.5,16.1,83.8,1.1,4.2,80.0,19.6,1662,23.1,10177,65.7,15.5,75700,8107,2.29,16826,30724,27.3,209,5213,-1.1,1236,1584,66.7,0.0,0.0,0.0,0.0,0.0,0,0,87509,3932,19354,3,608.89,35.2
01089,346892,334811,3.6,334811,5.9,22.7,13.3,51.1,69.6,24.5,0.8,2.5,0.1,2.4,4.7,65.7,84.7,5.4,7.1,90.0,38.5,34203,21.0,152226,69.3,21.4,164500,132975,2.50,31933,58434,12.8,8162,152122,1.7,22745,26467,12.3,1.4,3.5,0.0,1.3,29.2,8650700,2970410,4438653,14145,596324,2259,801.59,417.7
01091,20155,21029,-4.2,21027,6.0,23.1,18.3,52.9,47.4,51.1,0.2,0.3,0.2,0.8,2.2,45.8,87.4,0.7,1.2,83.7,17.4,1462,22.4,10150,71.3,9.1,89600,8464,2.42,22072,35079,24.0,480,5773,3.4,1085,1604,0.0,0.0,0.0,0.0,0.0,21.4,542135,64589,197221,9274,16684,1,976.88,21.5
01093,30334,30777,-1.4,30776,5.2,21.1,19.8,50.4,94.0,4.2,0.4,0.3,0.1,1.1,2.5,91.8,86.6,1.0,2.5,74.6,9.5,2287,24.0,14619,75.9,9.6,78700,12700,2.34,19576,32888,20.9,549,7624,15.1,1836,2224,0.0,0.0,0.0,0.0,0.0,0.0,794483,162519,209924,7116,19081,7,742.29,41.5
01095,94760,93019,1.9,93019,6.8,24.7,15.9,50.9,94.0,2.3,1.1,0.7,0.3,1.6,12.9,82.6,86.1,8.0,11.5,76.2,15.2,7192,23.9,40147,71.9,9.5,114000,34250,2.70,20382,39526,19.5,1802,30290,-2.6,6908,8700,0.0,0.0,0.9,0.0,1.0,24.9,3029491,1138701,1357696,15434,103539,40,565.84,164.4
01097,414079,413002,0.3,412992,6.7,24.1,14.1,52.1,60.3,35.3,1.0,1.9,0.1,1.5,2.6,58.2,85.8,3.2,5.0,83.9,20.7,33586,23.9,180493,66.6,17.4,124300,155178,2.60,22501,43028,19.8,8586,148222,-0.5,30184,34836,18.8,0.0,2.4,0.0,1.2,29.5,12407151,3268730,5225494,12895,562436,896,1229.44,335.9
01099,22236,23070,-3.6,23068,5.7,24.0,17.3,52.3,55.4,41.3,1.3,0.4,0.0,1.6,1.1,54.6,91.8,0.9,1.3,76.1,10.6,1237,23.3,11209,74.0,6.8,76900,8333,2.71,15749,29203,28.6,383,5121,-1.3,1272,2257,23.6,0.0,0.0,0.0,0.0,24.5,1251911,92815,212618,9342,14796,2,1025.68,22.5
01101,226659,229363,-1.2,229363,6.8,24.2,12.9,52.5,39.5,56.3,0.3,2.4,0.1,1.3,3.4,36.9,78.1,4.3,5.7,85.6,31.5,20008,19.3,102889,61.4,22.4,122900,88844,2.49,24975,44790,21.2,5568,100334,1.4,15952,21463,35.6,0.7,2.4,0.0,1.3,30.9,7956627,3275567,3238175,14351,402861,645,784.25,292.5
01103,119787,119488,0.3,119490,6.1,23.2,15.5,50.8,83.8,12.4,1.1,0.7,0.1,1.9,7.8,76.9,86.4,5.1,8.0,81.4,19.9,9518,23.7,51226,71.5,15.1,120500,46192,2.55,23764,44800,15.7,2618,41718,-2.2,7449,10034,5.9,1.8,1.0,0.0,0.0,21.3,0,1213925,1637628,14222,154700,142,579.34,206.3
01105,10020,10581,-5.3,10591,6.0,23.1,17.2,53.2,31.2,67.6,0.2,0.4,0.0,0.6,1.3,30.3,92.2,0.5,0.8,70.2,10.4,670,26.8,4663,67.0,11.0,58000,3400,2.84,13716,28209,25.6,127,1510,5.3,476,854,55.7,0.0,0.0,0.0,0.0,41.3,0,10360,34121,3181,2632,0,719.66,14.7
01107,19401,19746,-1.7,19746,5.5,21.8,18.1,52.0,57.3,40.9,0.2,0.3,0.4,1.0,2.2,55.8,91.9,0.3,2.6,79.7,11.0,1610,29.3,9388,72.0,10.7,81900,7926,2.42,17153,28741,27.2,278,2741,0.9,1151,1268,0.0,0.0,0.0,0.0,0.0,10.0,107619,36581,113222,5805,6302,2,881.41,22.4
01109,33339,32899,1.3,32899,5.8,19.9,13.8,51.9,58.8,36.8,0.7,2.1,0.1,1.5,2.3,57.2,79.3,4.0,5.8,81.0,23.0,2516,18.7,15661,57.8,18.5,101000,12959,2.40,19715,33090,27.6,627,10857,4.1,1929,2527,0.0,0.0,0.0,0.0,0.0,0.0,0,0,367926,12189,45692,432,672.09,48.9
01111,22727,22914,-0.8,22913,5.6,22.1,18.8,51.5,77.7,20.1,0.5,0.3,0.1,1.3,3.2,74.9,87.9,1.7,3.4,72.6,11.1,1598,26.8,11869,72.3,5.7,88600,9013,2.48,19830,35213,24.5,337,3481,-0.3,1420,1550,7.1,0.0,0.0,0.0,0.0,0.0,401677,26751,161410,7209,9241,0,580.55,39.5
01113,59585,52949,12.5,52947,7.8,25.2,12.2,51.0,53.8,42.3,0.5,0.8,0.3,2.3,4.9,50.3,81.7,2.2,5.0,80.4,16.0,5977,23.6,26411,61.3,19.8,104400,21142,2.60,19678,36143,22.0,811,10688,0.8,3478,3823,33.9,0.0,0.0,0.0,1.0,32.4,0,0,428236,8526,56392,646,641.14,82.6
01115,86308,83598,3.2,83593,6.2,23.2,14.7,50.1,88.1,9.3,0.4,0.8,0.1,1.3,2.3,86.2,86.8,1.8,2.5,82.0,15.5,6928,30.0,35483,81.5,5.1,134600,31353,2.63,23872,50786,15.2,1259,15118,17.5,5256,6061,2.4,1.0,1.4,0.0,0.0,28.1,985409,317458,581324,7404,70254,79,631.90,132.3
01117,204180,195078,4.7,195085,6.1,24.7,12.4,51.2,84.4,11.8,0.4,2.1,0.1,1.3,6.0,78.8,86.6,6.0,8.3,91.2,40.3,13991,29.0,82471,79.0,12.1,193000,74144,2.64,33313,68770,7.9,4798,74570,-0.4,15459,18393,5.7,0.6,0.0,0.0,2.0,30.5,1723017,4385596,2520488,13737,301893,844,784.93,248.5
01119,13361,13763,-2.9,13763,4.7,19.8,15.9,54.7,25.5,73.5,0.1,0.4,0.0,0.5,1.0,24.9,87.9,0.9,1.9,75.5,14.9,706,23.4,6708,64.7,16.3,74100,5060,2.57,14156,22186,38.0,211,2743,3.3,815,730,57.5,0.0,0.0,0.0,0.0,0.0,0,76499,59636,4494,8199,2,903.89,15.2
01121,81096,82291,-1.5,82291,5.6,22.4,15.7,51.3,65.5,32.3,0.4,0.4,0.0,1.4,2.2,63.8,85.0,1.6,2.8,78.9,13.0,6691,23.9,36930,71.2,11.6,92600,31486,2.50,19410,35439,22.9,1264,22681,5.0,4095,4872,0.0,0.0,1.5,0.0,0.0,26.6,9054200,0,730728,9113,67078,51,736.78,111.7
01123,41203,41618,-1.0,41616,5.8,21.4,19.0,51.5,70.9,27.1,0.4,0.5,0.0,1.1,2.5,69.0,86.0,1.9,2.9,79.2,16.3,3631,23.9,21953,72.2,10.1,94900,16373,2.49,21434,39130,19.8,753,10348,7.0,2434,3528,13.0,0.0,0.0,0.0,0.0,35.0,0,0,362304,8881,28222,68,716.52,58.1
01125,200821,194653,3.2,194656,6.0,21.0,11.4,51.6,66.5,30.7,0.3,1.4,0.1,1.1,3.2,63.7,81.2,3.5,5.8,86.6,27.0,12198,21.8,86549,64.4,27.9,153300,67882,2.76,22637,45408,18.9,4015,70776,1.0,11368,14729,13.3,0.9,0.0,0.0,0.0,22.5,10852479,760623,2445850,13664,327429,901,1321.76,147.3
01127,65998,67023,-1.5,67023,5.9,22.2,17.7,51.4,91.6,6.2,0.5,0.3,0.1,1.3,2.3,89.6,85.3,1.2,1.4,76.4,10.5,5353,29.3,30492,75.0,5.7,82100,25751,2.55,20698,37566,20.9,1303,15045,1.2,3577,5365,0.0,0.0,0.6,0.0,0.0,23.8,314804,256377,903643,13162,73895,9,791.19,84.7
01129,16877,17583,-4.0,17581,5.1,22.8,16.5,51.2,66.3,24.5,7.7,0.1,0.1,1.3,1.3,65.4,91.3,0.9,1.9,80.5,9.5,1025,31.8,8325,86.5,2.0,83900,6620,2.59,20395,42156,18.4,224,6041,80.0,1042,1288,0.0,0.0,0.0,0.0,0.0,25.6,1153449,32856,76343,4458,0,1,1080.21,16.3
01131,11307,11665,-3.1,11670,5.8,25.3,17.0,52.3,27.9,71.2,0.2,0.1,0.0,0.6,0.9,27.5,93.8,0.1,0.9,76.1,11.1,462,21.6,5571,74.5,5.7,67000,3866,2.90,13379,23642,39.2,193,1758,-4.2,640,928,66.2,0.0,0.0,0.0,0.0,37.6,0,21337,75708,6018,12949,0,888.50,13.1
01133,24146,24483,-1.4,24484,4.9,21.0,19.6,51.0,96.5,0.9,0.8,0.3,0.2,1.3,2.7,94.4,83.4,1.1,1.8,72.7,10.4,1721,27.0,13311,74.9,5.3,82500,9489,2.52,18995,32900,24.0,454,6608,0.5,1686,2380,0.0,0.0,0.0,0.0,0.0,19.6,797845,165638,166709,6853,16564,5,612.98,39.9
02000,735132,710231,3.5,710231,7.5,25.6,9.0,47.6,67.3,3.9,14.7,5.8,1.2,7.1,6.6,62.5,80.3,7.0,16.2,91.6,27.5,71004,18.8,307399,63.8,24.0,241800,251899,2.75,32651,70760,9.9,20427,258219,1.3,53188,68728,1.5,10.0,3.1,0.3,0.0,25.9,8204030,4563605,9303387,13635,1851293,994,570640.95,1.2
02013,3092,3141,-1.6,3141,3.0,10.6,7.0,32.6,24.7,7.7,21.8,41.4,0.7,3.7,13.5,12.9,77.4,56.6,63.7,78.5,12.0,99,4.8,744,54.7,15.7,118500,435,2.46,26535,61250,16.7,62,0,0.0,223,188,0.0,71.8,0.0,0.0,0.0,0.0,0,0,9326,3309,0,0,6981.94,0.4
